id,date,time,hour,year,month,day,text,favorite_count,retweet_count,media_type
9.34E+17,11/25/2017,7:38:00 PM,19,2017,11,25,b'We know you love adventure! @ Lawson Adventure Park https://t.co/3XsUNwKwAa',0,0,text
9.02E+17,8/27/2017,9:39:00 PM,21,2017,8,27,b'Zorbing shenanigans @ Lawson Adventure Park https://t.co/eESczoBI2N',0,2,
9.02E+17,8/27/2017,4:29:00 PM,16,2017,8,27,b'Fall is coming! https://t.co/SAYnXpWOey',0,1,
8.96E+17,8/11/2017,9:19:00 PM,21,2017,8,11,b'Not long now until our Adult Summer Camp! Contact us to book tickets. @\xe2\x80\xa6 https://t.co/HfUVMajGRV',0,1,
8.95E+17,8/9/2017,8:04:00 PM,20,2017,8,9,b'Just one month until our Adult Summer Camp! https://t.co/D4ODIfgvkj',0,1,
8.95E+17,8/9/2017,4:37:00 PM,16,2017,8,9,b'May life always be an adventure. https://t.co/8r8FbXs4Mx',0,0,
8.95E+17,8/9/2017,3:09:00 PM,15,2017,8,9,"b""It's a beautiful morning in Lawson! @ Downieville-Lawson-Dumont, Colorado https://t.co/4u7B2gTI0v""",0,0,
8.83E+17,7/6/2017,6:39:00 PM,18,2017,7,6,"b'Special Limited Time Offer, Save 80% https://t.co/pRSPjXoCsu #visitcolorado #visitdenver #visitclearceekcounty'",0,1,
8.75E+17,6/13/2017,4:07:00 PM,16,2017,6,13,b'RT @JessicaLebelWX: This just happened ... hamster ball #daybreak https://t.co/2EdgIsmKjQ',4,0,
8.75E+17,6/13/2017,2:53:00 PM,14,2017,6,13,"b'Thanks to @erniebjorkmantv, @JessicaLebelWX, @SamBoik and the @ch2daybreak team for having us on! https://t.co/YNmWocOjhU'",2,5,photo
8.75E+17,6/13/2017,3:07:00 PM,15,2017,6,13,b'Anchors away as @KirkYuhnke jumps in to join the zorbing fun on @GoodDayCO this morning. https://t.co/fAYuvjJjuA',2,4,video
