Filename,Caption,Date,URL,Kind,Width,Height,Views,Likes,Comments,ID,Posts
1346509159310796993.jpg,"Fundraiser today, come check us out","Sep 24, 2016, 11:00:21 AM",https://www.instagram.com/p/BKvwvI_h6jB/,Photo,1080,1080,,95,6,1.35E+18,1
1345085776412934638.jpg,Win your choice @tamagear jackets $100 value this Saturday at our fundraiser,"Sep 22, 2016, 11:52:21 AM",https://www.instagram.com/p/BKqtGMXhgHu/,Photo,1080,767,,53,1,1.35E+18,1
1319754510994010042.jpg,So much to do #lawsonadventure #rockclimbing #discgolf #challengecourse  and more #visitdenver #denver #vistcolorado,"Aug 18, 2016, 1:03:39 PM",https://www.instagram.com/p/BJQtbxChG-6/,Photo,1080,1080,,45,1,1.32E+18,1
1590899108816981836.html,Zorbing shenanigans,"Aug 27, 2017, 3:39:34 PM",https://www.instagram.com/p/BYUAk9-hY9M/,Slides,750,750,,35,3,1.59E+18,1
1487875129609766614.jpg,"A little Bouck Brothers before bedtime? Stay in our cabins this weekend! 
#mountaintinyhomes #mountaincabins #georgetown #idahospringsco","Apr 7, 2017, 12:09:18 PM",https://www.instagram.com/p/BSl_owah0bW/,Photo,1080,1080,,34,0,1.49E+18,1
1503857851972967936.jpg,Our unofficial buffalo mascot!,"Apr 29, 2017, 1:24:07 PM",https://www.instagram.com/p/BTexr-jh94A/,Photo,1080,1080,,32,1,1.50E+18,1
1339979117776737018.jpg,Win a lawson prize pack at our fundraiser on September 24. #vistcolorado #visitdenver #zorbing #rockclimbing,"Sep 15, 2016, 10:46:20 AM",https://www.instagram.com/p/BKYj-h5hhL6/,Photo,1080,1080,,31,4,1.34E+18,1
1341459504990432224.jpg,Checking out #afestdenver  #vistcolorado #vistdenver #gociety,"Sep 17, 2016, 11:47:36 AM",https://www.instagram.com/p/BKd0k_7hqvg/,Photo,1080,1080,,30,1,1.34E+18,1
1323420097490230943.jpg,"Hey #coloradostateuniversity #cuboulder #msu_denver #uofdenver #jwudenver ,if u need an escape from your studies, come to #lawsonadventure park and #zorb #viaferrata #discgolf and more!","Aug 23, 2016, 2:26:31 PM",https://www.instagram.com/p/BJdu5EfhJ6f/,Photo,640,640,,30,1,1.32E+18,1
1320530165595788250.jpg,"Come check out our fundraising event for  @leukemialymphomasociety September 24, prizes, raffles, and samplings from our wonderful sponsors  @denverphilorch  @pakems1 @fourpointsbar  @sweetwoodcattle @honesttea @meierskis @skioutabounds 
@visitcolorado @visitdenver","Aug 19, 2016, 2:44:44 PM",https://www.instagram.com/p/BJTdzBrhlPa/,Photo,1080,766,,30,0,1.32E+18,1
